onset	duration	trial_type	TrialType	model	cond	Stimulus	SSD	Response	ReactionTime	CorrectGo	SuccStop
0.0	1.5	successful stop	1	model001	cond002	1	0.113	0	0.0	0	1
3.25	1.5	go	0	model001	cond001	0	0.0	49	0.389	1	0
7.25	1.5	go	0	model001	cond001	0	0.0	49	0.429	1	0
9.63	1.5	go	0	model001	cond001	1	0.0	50	0.413	1	0
12.13	1.5	go	0	model001	cond001	0	0.0	49	0.361	1	0
14.5	1.5	go	0	model001	cond001	1	0.0	50	0.416	1	0
19.0	1.5	successful stop	1	model001	cond002	1	0.153	0	0.0	0	1
24.5	1.5	go	0	model001	cond001	0	0.0	49	0.368	1	0
26.63	1.5	go	0	model001	cond001	0	0.0	49	0.402	1	0
28.75	1.5	go	0	model001	cond001	1	0.0	50	0.461	1	0
31.75	1.5	go	0	model001	cond001	0	0.0	49	0.38	1	0
34.5	1.5	failed stop	1	model001	cond003	1	0.153	50	0.254	1	0
37.38	1.5	go	0	model001	cond001	1	0.0	50	0.506	1	0
40.875	1.5	failed stop	1	model001	cond003	1	0.113	50	0.43	1	0
46.0	1.5	go	0	model001	cond001	0	0.0	49	0.408	1	0
48.88	1.5	go	0	model001	cond001	0	0.0	49	0.549	1	0
51.25	1.5	go	0	model001	cond001	1	0.0	50	0.565	1	0
53.38	1.5	go	0	model001	cond001	1	0.0	50	0.456	1	0
55.5	1.5	failed stop	1	model001	cond003	0	0.153	49	0.362	1	0
57.75	1.5	go	0	model001	cond001	0	0.0	49	0.464	1	0
60.5	1.5	go	0	model001	cond001	1	0.0	50	0.538	1	0
64.0	1.5	successful stop	1	model001	cond002	0	0.113	0	0.0	0	1
66.75	1.5	go	0	model001	cond001	0	0.0	49	0.447	1	0
69.13	1.5	go	0	model001	cond001	1	0.0	50	0.631	1	0
71.13	1.5	go	0	model001	cond001	0	0.0	49	0.495	1	0
73.38	1.5	successful stop	1	model001	cond002	0	0.153	0	0.0	0	1
75.38	1.5	go	0	model001	cond001	1	0.0	50	0.348	1	0
78.13	1.5	go	0	model001	cond001	1	0.0	50	0.494	1	0
80.625	1.5	failed stop	1	model001	cond003	0	0.193	49	0.29	1	0
82.88	1.5	go	0	model001	cond001	1	0.0	50	0.359	1	0
87.38	1.5	go	0	model001	cond001	1	0.0	50	0.53	1	0
90.0	1.5	go	0	model001	cond001	0	0.0	49	0.465	1	0
92.5	1.5	go	0	model001	cond001	0	0.0	49	0.46	1	0
95.0	1.5	go	0	model001	cond001	1	0.0	50	0.288	1	0
97.0	1.5	go	0	model001	cond001	0	0.0	49	0.543	1	0
99.625	1.5	failed stop	1	model001	cond003	1	0.113	50	0.311	1	0
104.38	1.5	go	0	model001	cond001	0	0.0	49	0.399	1	0
107.0	1.5	go	0	model001	cond001	1	0.0	50	0.358	1	0
109.625	1.5	failed stop	1	model001	cond003	1	0.193	49	0.277	0	0
112.38	1.5	go	0	model001	cond001	0	0.0	49	0.59	1	0
115.25	1.5	go	0	model001	cond001	0	0.0	49	0.483	1	0
118.0	1.5	successful stop	1	model001	cond002	1	0.193	0	0.0	0	1
121.63	1.5	go	0	model001	cond001	1	0.0	50	0.379	1	0
123.63	1.5	go	0	model001	cond001	0	0.0	49	0.458	1	0
125.75	1.5	go	0	model001	cond001	0	0.0	49	0.397	1	0
128.5	1.5	junk	0	model001	cond004	0	0.0	50	0.318	0	0
130.63	1.5	go	0	model001	cond001	1	0.0	50	0.457	1	0
133.375	1.5	failed stop	1	model001	cond003	1	0.113	50	0.331	1	0
135.88	1.5	go	0	model001	cond001	1	0.0	50	0.47	1	0
138.5	1.5	go	0	model001	cond001	0	0.0	49	0.349	1	0
142.38	1.5	go	0	model001	cond001	0	0.0	49	0.441	1	0
144.38	1.5	successful stop	1	model001	cond002	1	0.073	0	0.0	0	1
147.63	1.5	successful stop	1	model001	cond002	1	0.073	0	0.0	0	1
149.88	1.5	go	0	model001	cond001	0	0.0	49	0.516	1	0
152.0	1.5	go	0	model001	cond001	0	0.0	49	0.494	1	0
155.5	1.5	go	0	model001	cond001	1	0.0	50	0.346	1	0
158.0	1.5	go	0	model001	cond001	1	0.0	50	0.461	1	0
162.13	1.5	go	0	model001	cond001	0	0.0	49	0.512	1	0
165.75	1.5	failed stop	1	model001	cond003	1	0.193	50	0.366	1	0
168.0	1.5	go	0	model001	cond001	0	0.0	49	0.396	1	0
170.5	1.5	failed stop	1	model001	cond003	1	0.153	50	0.391	1	0
173.0	1.5	go	0	model001	cond001	0	0.0	49	0.491	1	0
175.88	1.5	go	0	model001	cond001	1	0.0	50	0.431	1	0
178.0	1.5	go	0	model001	cond001	0	0.0	49	0.362	1	0
181.88	1.5	go	0	model001	cond001	1	0.0	50	0.359	1	0
185.13	1.5	successful stop	1	model001	cond002	0	0.113	0	0.0	0	1
190.5	1.5	go	0	model001	cond001	1	0.0	50	0.372	1	0
192.75	1.5	go	0	model001	cond001	0	0.0	49	0.41	1	0
195.38	1.5	go	0	model001	cond001	1	0.0	50	0.568	1	0
198.25	1.5	go	0	model001	cond001	1	0.0	50	0.485	1	0
200.5	1.5	go	0	model001	cond001	0	0.0	49	0.474	1	0
202.75	1.5	successful stop	1	model001	cond002	0	0.193	0	0.0	0	1
204.75	1.5	successful stop	1	model001	cond002	0	0.193	0	0.0	0	1
206.88	1.5	go	0	model001	cond001	1	0.0	50	0.346	1	0
209.0	1.5	go	0	model001	cond001	0	0.0	49	0.453	1	0
212.0	1.5	go	0	model001	cond001	1	0.0	50	0.285	1	0
214.0	1.5	go	0	model001	cond001	0	0.0	49	0.684	1	0
216.88	1.5	go	0	model001	cond001	1	0.0	50	0.281	1	0
219.5	1.5	go	0	model001	cond001	1	0.0	50	0.343	1	0
223.5	1.5	successful stop	1	model001	cond002	0	0.073	0	0.0	0	1
226.0	1.5	failed stop	1	model001	cond003	1	0.153	50	0.242	1	0
228.38	1.5	go	0	model001	cond001	1	0.0	50	0.474	1	0
231.38	1.5	go	0	model001	cond001	0	0.0	49	0.498	1	0
234.13	1.5	go	0	model001	cond001	0	0.0	49	0.436	1	0
236.75	1.5	junk	0	model001	cond004	0	0.0	50	0.314	0	0
238.875	1.5	junk	0	model001	cond004	0	0.0	50	0.365	0	0
242.875	1.5	failed stop	1	model001	cond003	1	0.193	50	0.612	1	0
246.38	1.5	go	0	model001	cond001	1	0.0	50	0.4	1	0
248.88	1.5	go	0	model001	cond001	1	0.0	50	0.323	1	0
251.88	1.5	go	0	model001	cond001	0	0.0	49	0.371	1	0
255.13	1.5	successful stop	1	model001	cond002	1	0.073	0	0.0	0	1
258.5	1.5	go	0	model001	cond001	0	0.0	49	0.313	1	0
263.0	1.5	successful stop	1	model001	cond002	1	0.153	0	0.0	0	1
265.375	1.5	junk	0	model001	cond004	0	0.0	0	0.0	0	0
267.5	1.5	go	0	model001	cond001	1	0.0	50	0.399	1	0
271.25	1.5	go	0	model001	cond001	0	0.0	49	0.376	1	0
273.25	1.5	go	0	model001	cond001	0	0.0	49	0.44	1	0
275.63	1.5	go	0	model001	cond001	0	0.0	49	0.385	1	0
280.375	1.5	failed stop	1	model001	cond003	1	0.153	50	0.37	1	0
282.88	1.5	go	0	model001	cond001	1	0.0	50	0.437	1	0
285.0	1.5	failed stop	1	model001	cond003	1	0.073	50	0.281	1	0
287.88	1.5	go	0	model001	cond001	0	0.0	49	0.653	1	0
290.0	1.5	go	0	model001	cond001	0	0.0	49	0.423	1	0
292.25	1.5	go	0	model001	cond001	1	0.0	50	0.413	1	0
